トヨタ               丰田汽车            
三菱ＵＦＪ           三菱UFJ
ＮＴＴ               NTT           
ＮＴＴドコモ         NTT Docomo           
ＪＴ                 日本烟草(JT)           
ＫＤＤＩ             KDDI           
日本郵政             日本邮政           
ゆうちょ銀           日本邮储银行           
ソフトバンク         软银           
ホンダ               本田           
三井住友ＦＧ         三井住友FG           
みずほＦＧ           瑞穗FG      
日産自               日产汽车           
デンソー             电装          
セブン＆アイ         Seven&I           
キヤノン             佳能            
武田                 武田制药          
ＪＲ東日本           JR东日本           
ＪＲ東海             JR东海           
ファストリ           迅销
ファナック           发那科           
キーエンス           基恩士           
アステラス           安斯泰来制药           
村田製               村田製作所           
富士重               富士重工业           
ソニー               索尼           
菱地所               三菱地所          
東京海上             东京海上日动火灾保险           
ブリヂストン         普利司通           
三菱商               三菱商事           
日立                 日立           
花王                 花王           
三井不               三井不动产           
パナソニック         松下           
信越化               信越化学工业           
ＯＬＣ               Oriental Land           
ヤフー               雅虎           
三菱電               三菱电机           
三井物               三井物产           
野村                 野村证券           
小野薬               小野药品           
富士フイルム        富士胶片            
日電産              日本电产            
ダイキン            大金            
伊藤忠              伊藤忠商事           
大塚ＨＤ            大冢制药            
エーザイ            卫材            
第一生命            第一生命           
クボタ              久保田            
中外薬              中外制药         
ハウス              大和房屋工业
オリックス          欧力士集团             
新日鉄住金          新日铁住金            
任天堂             任天堂             
ＭＳ＆ＡＤ         MS&AD保险             
ＨＯＹＡ           豪雅             
豊田織             丰田自动织机             
ＳＭＣ             SMC             
京セラ             京瓷             
リクルート         Recruit             
スズキ             铃木公司             
コマツ             小松制作所             
楽天               乐天             
塩野義             塩野义制药             
電通                电通            
セコム              西科姆            
アサヒ              朝日            
かんぽ生命          日本邮政简易生命保险            
東レ                东丽株式会社            
三井住友トラ        三井住友Trust            
三菱重              三菱重工            
第一三共            第一三共            
国際石開帝石        国际石油开发帝石            
シマノ              禧玛诺             
シスメックス        希森美康            
サントリＢＦ        三得利            
味の素              味之素            
オリンパス          奥林巴斯            
住友不              住友不动产            
ＮＴＴデータ         NTT DATA           
イオン             永旺             
ＪＲ西日本         JR西日本             
損保ＪＰＮＫ       损害保险日本兴亚 
住友商             住友商事             
ＪＡＬ             日本航空             
キリンＨＤ         麒麟控股             
アイシン           爱信精机             
明治ＨＤ           明治HD             
日東電             日东电工             
テルモ             泰尔茂             
ユニチャーム       娇联             
積ハウス           积水房屋             
マツダ             马自达             
りそなＨＤ         里索那控股             
関西電             关西电力             
東ガス             东京瓦斯             
ルネサス           瑞萨电子             
住友電             住友电力             
大和               大和证券             
東エレク           东京电子             
